,M1,M2,M3,M4,C2,C3,C4,Skewness,Kurtosis,Mean,Absolute_mean,Peak_value,SRV,RMS,Crest_factor,Shape_factor
0,0.0,5.8837016858981873e-08,5.13217841359069e-10,1.6146295316631097e-11,5.8837016858981873e-08,5.13217841359069e-10,1.6135909932972504e-11,35.960504669032886,4661.140251556076,3.730022747776921e-05,3.730022747776921e-05,0.020819935824404792,3.627450991235858e-15,0.00024541459579429097,84.83576845550081,6.579439654639026
1,0.0,4.488113998170754e-08,4.0975156456847244e-10,1.4099226977551628e-11,4.488113998170754e-08,4.0975156456847244e-10,1.4093184027373456e-11,43.0947932318327,6996.508466151847,3.8866234688825594e-05,3.8866234688825594e-05,0.019738483917072627,2.152192072448349e-15,0.00021538738166520903,91.64178404728216,5.541760949823496
2,0.0,1.1630650144575982e-07,8.862711368189895e-10,2.474466957581261e-11,1.1630650144575982e-07,8.862711368189895e-10,2.4704087968976953e-11,22.343984306372995,1826.25257316847,6.141034970820842e-05,6.141034970820842e-05,0.01980907851098318,1.441866184163172e-14,0.00034652234054537417,57.16537202134403,5.642735177244174
3,0.0,3.7968152658535944e-08,3.8501453742497564e-10,1.2804763173736945e-11,3.7968152658535944e-08,3.8501453742497564e-10,1.2800438431888039e-11,52.04127491055405,8879.446828804628,2.7511383125427533e-05,2.7511383125427533e-05,0.01976719618841717,1.4996278602086064e-15,0.00019678675986968734,100.44982803470648,7.152921355226455
4,0.0,9.500534383924233e-08,6.980548691621896e-10,1.8644650439251735e-11,9.500534383924233e-08,6.980548691621896e-10,1.86175723931777e-11,23.83787343918324,2062.65684853398,5.237171119214949e-05,5.237171119214949e-05,0.019711596122435115,9.554698868070997e-15,0.00031264698938649046,63.047452211567204,5.9697684545651475
5,0.0,5.31093045686868e-08,6.614965198256318e-10,2.6082250581289186e-11,5.31093045686868e-08,6.614965198256318e-10,2.6073788786593877e-11,54.04700612602471,9244.063366740527,3.9427361013040304e-05,3.9427361013040304e-05,0.02205510094897925,2.9881333662398713e-15,0.0002338029541411729,94.33200290387317,5.9299671125299085
6,0.0,1.0199746324015123e-07,8.364773559606009e-10,2.1522541855541576e-11,1.0199746324015123e-07,8.364773559606009e-10,2.1491331408019297e-11,25.6785284902803,2065.7824332072264,4.7483595162251485e-05,4.7483595162251485e-05,0.019637906315307953,1.086851183250332e-14,0.0003228810230559917,60.82087491373716,6.799843650269255
7,0.0,4.885595403147057e-08,3.904456021574636e-10,1.2578712951432824e-11,4.885595403147057e-08,3.904456021574636e-10,1.2571552238699848e-11,36.15632553360705,5266.885870511376,3.909588052430362e-05,3.909588052430362e-05,0.019708032626469963,2.5385919861227843e-15,0.00022446478990131448,87.80010724681837,5.741392363877771
8,0.0,5.005133655555272e-08,3.718522650433376e-10,1.2041463330633588e-11,5.005133655555272e-08,3.718522650433376e-10,1.2033947921760597e-11,33.20832053965647,4803.709868004946,4.300707343798171e-05,4.300707343798171e-05,0.019769943554572657,2.6937080837189014e-15,0.00022781778886042382,86.77963056995969,5.297216728521371
9,0.0,7.566099425113118e-08,4.744706784987278e-10,1.2625423511052865e-11,7.566099425113118e-08,4.744706784987278e-10,1.2608249752899656e-11,22.798239563900584,2202.473618252914,4.568135065028439e-05,4.568135065028439e-05,0.01974946282958577,6.0447173024490225e-15,0.00027883288910809196,70.82902914630606,6.10386700784549
10,0.0,4.5575388815064416e-08,4.4798021845975794e-10,1.5485543630699502e-11,4.5575388815064416e-08,4.4798021845975794e-10,1.547931228250257e-11,46.04296295700313,7452.309737781098,3.7375776155578895e-05,3.7375776155578895e-05,0.019728348557368155,2.2064004862960685e-15,0.0002167310256015422,91.02687768219454,5.798703007514449
11,0.0,9.316374154225011e-08,5.78561418260912e-10,1.5381299460259045e-11,9.316374154225011e-08,5.78561418260912e-10,1.535526101204459e-11,20.3460021590971,1769.1447146440692,5.4705343852220005e-05,5.4705343852220005e-05,0.01975574118019148,9.246056374165982e-15,0.0003100909805012713,63.70949954189489,5.668385548200653
12,0.0,4.141917042201466e-08,3.087677432720981e-10,1.001672685699425e-11,4.141917042201466e-08,3.087677432720981e-10,1.0011580213958906e-11,36.62940206001284,5835.792464256472,3.6785625341615093e-05,3.6785625341615093e-05,0.019813665866927586,1.8294741515400353e-15,0.00020681477861552437,95.80391691331623,5.622162915402651
13,0.0,4.5486494595588054e-08,3.2078540834555845e-10,9.99814302069404e-12,4.5486494595588054e-08,3.2078540834555845e-10,9.991935957122257e-12,33.06670349921157,4829.305761847428,3.748801249620274e-05,3.748801249620274e-05,0.019827292939233174,2.198845190949029e-15,0.00021654525087496976,91.56189230250622,5.776386542148752
14,0.0,4.249170170409938e-08,3.2124249104547704e-10,1.0335396897835072e-11,4.249170170409938e-08,3.2124249104547704e-10,1.0329980263693941e-11,36.67556380741506,5721.254192850843,3.5806334890856436e-05,3.5806334890856436e-05,0.020306326793367965,1.916145156928736e-15,0.00020922188060146964,97.05642036574508,5.843152649921087
15,0.0,6.723549256904222e-08,5.792998557916394e-10,2.0620074330720754e-11,6.723549256904222e-08,5.792998557916394e-10,2.060651249633775e-11,33.22810193324532,4558.346293218376,4.5431525566778465e-05,4.5431525566778465e-05,0.02230691291592965,4.8024229295274486e-15,0.00026324801249841766,84.73725102127308,5.794390771920638
16,0.0,4.457756157165991e-08,5.024613730266217e-10,1.7698755174596133e-11,4.457756157165991e-08,5.024613730266217e-10,1.7692793697609108e-11,53.386102745938146,8903.562189092998,3.9743659948698935e-05,3.9743659948698935e-05,0.020333590668886767,2.1304797338743956e-15,0.00021484208171998747,94.64435694394534,5.40569444276912
17,0.0,1.9513939851190978e-08,3.3685415045616975e-10,1.0691140616042197e-11,1.9513939851190978e-08,3.3685415045616975e-10,1.068999823449665e-11,123.57324740965512,28072.927848387517,2.67149055795505e-05,2.67149055795505e-05,0.016477736143976532,4.091568548627431e-16,0.00014222385886803685,115.8577490100693,5.323764235083248
18,0.0,5.337347899142543e-08,1.3287912470852967e-10,5.514972450376033e-13,5.337347899142543e-08,1.3287912470852967e-10,5.429510602586589e-13,10.776270662485961,190.5941917835726,4.26131176845259e-05,4.26131176845259e-05,0.00718521639913497,3.045865102918277e-15,0.0002349241511429182,30.585260664680575,5.512953848674306
19,0.0,9.231921292913279e-08,2.7496373737775977e-10,1.1728203710328513e-12,9.231921292913279e-08,2.7496373737775977e-10,1.1472518598052877e-12,9.80250973691545,134.60915063781815,5.4176042675577134e-05,5.4176042675577134e-05,0.00720489816123556,9.073373386915156e-15,0.0003086328830975707,23.34455774421747,5.696851742120768
20,0.0,4.0456871010112016e-08,5.214826726179226e-10,1.9391566223194432e-11,4.0456871010112016e-08,5.214826726179226e-10,1.9386655947958645e-11,64.08427072425658,11844.543340463051,3.590268299683777e-05,3.590268299683777e-05,0.020237101465745446,1.7427179673430804e-15,0.00020431806982370275,99.04704700473711,5.690885827159453
21,0.0,4.914548991172859e-08,5.966584998430261e-10,2.149997690939644e-11,4.914548991172859e-08,5.966584998430261e-10,2.1492731071860448e-11,54.76465155179155,8898.652901794434,3.653031022752585e-05,3.653031022752585e-05,0.020304651230287185,2.5482257030449155e-15,0.00022467744318700053,90.37245102254208,6.15043895843251
22,0.0,4.560129516357702e-08,4.186427891923676e-10,1.4577831826477436e-11,4.560129516357702e-08,4.186427891923676e-10,1.457159339211565e-11,42.99102985034511,7007.331910730356,3.8163879029191274e-05,3.8163879029191274e-05,0.020341460021710445,2.2144343598180212e-15,0.00021692804527338492,93.7705403470307,5.684119402733098
23,0.0,3.354851491885503e-08,4.039732867513587e-10,1.5102590840854384e-11,3.354851491885503e-08,4.039732867513587e-10,1.50992143322946e-11,65.7419675317288,13415.527369434396,3.5207555412387736e-05,3.5207555412387736e-05,0.02031703655601686,1.2102109885597057e-15,0.00018651564780728543,108.92939436914774,5.297602904337406
24,0.0,5.466194984099663e-08,6.371655765998196e-10,2.5063125870231718e-11,5.466194984099663e-08,6.371655765998196e-10,2.505416208395046e-11,49.85682586404031,8385.126986907075,3.941066269116459e-05,3.941066269116459e-05,0.022275637958244648,3.160143109170076e-15,0.0002370973432469318,93.95144480824085,6.016070957875222
25,0.0,3.58713632529914e-08,5.132910252422319e-10,2.0547650328267518e-11,3.58713632529914e-08,5.132910252422319e-10,2.0543790064162634e-11,75.5512837151468,15965.583835186051,3.1796795109461465e-05,3.1796795109461465e-05,0.021319748175885958,1.3603113878781554e-15,0.00019204790921076054,111.01265441264904,6.039851140645766
26,0.0,3.187691964747723e-08,5.024945861787792e-10,1.9264813017616976e-11,3.187691964747723e-08,5.024945861787792e-10,1.926176460359834e-11,88.29108737128703,18955.854899482038,3.0848634525039425e-05,3.0848634525039425e-05,0.020003339573614647,1.0777142137632343e-15,0.00018118652791953576,110.40191455348189,5.873405118546465
27,0.0,2.2606583915093005e-08,2.812509329245313e-10,1.0265333227214373e-11,2.2606583915093005e-08,2.812509329245313e-10,1.0263800054305443e-11,82.74496187985577,20083.449155383965,2.2470188674486496e-05,2.2470188674486496e-05,0.019927988955555226,5.341411222860045e-16,0.00015202464699567647,131.08393506825226,6.765615064384885
28,0.0,2.0052050054152338e-08,2.7502153082787605e-10,1.041089664125001e-11,2.0052050054152338e-08,2.7502153082787605e-10,1.0409690387115887e-11,96.85644507212066,25889.296689590654,2.3871195792676528e-05,2.3871195792676528e-05,0.020040151759823807,4.2526210147158033e-16,0.00014360321738291458,139.55224767971052,6.015752986575175
29,0.0,1.7215256419886082e-08,3.6786250817132956e-11,2.8425712430800505e-13,1.7215256419886082e-08,3.6786250817132956e-11,2.833680291471978e-13,16.286032001607538,956.1452192245764,2.4361973694083033e-05,2.4361973694083033e-05,0.00802967754293793,3.1715201046063493e-16,0.0001334494742670696,60.170169924149015,5.477777619449668
30,0.0,6.156749226985131e-08,4.1868168217139154e-10,1.1636503672190279e-11,6.156749226985131e-08,4.1868168217139154e-10,1.1625132003877085e-11,27.406701115123223,3066.8671518641777,4.7573281704100314e-05,4.7573281704100314e-05,0.01995603689166689,4.0743594627560626e-15,0.0002526474013362279,78.98769900707991,5.310699457474097
31,0.0,1.0748306272937319e-07,5.999418700905673e-10,1.3908781069145415e-11,1.0748306272937319e-07,5.999418700905673e-10,1.3874123242824355e-11,17.025470510641252,1200.9515352433425,6.855536080992624e-05,6.855536080992624e-05,0.019456026981557212,1.2585003102926504e-14,0.00033493715862106495,58.08858910028855,4.885645041672202
32,0.0,7.287602069534667e-08,6.387617597194961e-10,2.04549791113406e-11,7.287602069534667e-08,6.387617597194961e-10,2.0439046368163435e-11,32.46847814140664,3848.4985556264864,4.9555084403724606e-05,4.9555084403724606e-05,0.019509933333610046,5.674869105700366e-15,0.00027446625855577755,71.08317589298576,5.538609445596029
33,0.0,9.824420152494502e-08,3.8533210950474675e-10,2.7927765130197895e-12,9.824420152494502e-08,3.8533210950474675e-10,2.7638207436199675e-12,12.513385068056438,286.349228589687,5.41078659048976e-05,5.41078659048976e-05,0.011717519073973823,1.0235745797680938e-14,0.00031807524687992847,36.83882725522844,5.87853986773368
34,0.0,3.436199574526956e-07,2.6474043981923013e-09,3.8904548392215136e-11,3.436199574526956e-07,2.6474043981923013e-09,3.855032436673576e-11,13.143248416549868,326.4910474203295,0.00011324697974847837,0.00011324697974847837,0.02052728388019678,1.2705292102184713e-13,0.0005970300125411181,34.382331623208046,5.271928786684839
35,0.0,1.212832406734935e-07,6.605020121778448e-10,1.7190333002841145e-11,1.212832406734935e-07,6.605020121778448e-10,1.7146204129436353e-11,15.637702833879644,1165.6452662288305,8.439843992397621e-05,8.439843992397621e-05,0.020316390645821657,1.648818746781408e-14,0.0003583383001230743,56.69611827383179,4.245792937000442
36,0.0,2.0476578309397148e-07,1.0863550184630028e-09,1.9776194744051545e-11,2.0476578309397148e-07,1.0863550184630028e-09,1.9650407666273282e-11,11.724266860869786,468.65881647031546,9.772931839937963e-05,9.772931839937963e-05,0.019481095164932037,4.5931691949031575e-14,0.00046294362806801725,42.080922997540014,4.736998432508826
37,0.0,1.6288624176351533e-07,5.322758482513956e-10,2.551477248078595e-12,1.6288624176351533e-07,5.322758482513956e-10,2.471881464811068e-12,8.096739302637332,93.1662971329611,8.675487308512034e-05,8.675487308512034e-05,0.008650082288973357,2.904047120079102e-14,0.0004128106706076413,20.954115057735237,4.758357149604822
38,0.0,6.80621784384203e-08,1.354031911604216e-10,4.741048193536912e-13,6.80621784384203e-08,1.354031911604216e-10,4.602074389523411e-13,7.625531719889056,99.34406895294451,6.825739407223145e-05,6.825739407223145e-05,0.006892403573594188,5.288380242861201e-15,0.00026966877884536817,25.558774742501384,3.9507628808682447
39,0.0,9.931259072049473e-08,6.029102434327349e-10,1.6303734935137294e-11,9.931259072049473e-08,6.029102434327349e-10,1.6274145963110444e-11,19.263987850419287,1650.0214284237081,6.464757842646575e-05,6.464757842646575e-05,0.020667892677405063,1.071057338980655e-14,0.0003217015699633757,64.24554496192857,4.976235425883731
40,0.0,7.093741459037956e-08,5.045758508405225e-10,1.6152466977142418e-11,7.093741459037956e-08,5.045758508405225e-10,1.6137370626776117e-11,26.706281797104637,3206.875218555674,5.913156649095247e-05,5.913156649095247e-05,0.020389612677292796,5.54041391687338e-15,0.00027282587257452986,74.73489403657204,4.61387865677927
41,0.0,1.2869568427341008e-07,7.793902711880689e-10,1.9357175022336034e-11,1.2869568427341008e-07,7.793902711880689e-10,1.930748728488423e-11,16.881421178519787,1165.7295104418165,7.814796053828022e-05,7.814796053828022e-05,0.01976605864114793,1.8171791655188882e-14,0.0003671549918082319,53.83573445045766,4.698203117257087
42,0.0,7.753170286412451e-08,3.9578863423805814e-10,1.0180337319589427e-11,7.753170286412451e-08,3.9578863423805814e-10,1.0162303824742394e-11,18.333455743009022,1690.5714467899522,6.27923331290923e-05,6.27923331290923e-05,0.019658401251922707,6.638107180297089e-15,0.00028543752374892713,68.87111755220513,4.545738460810292
43,0.0,7.674003469028549e-08,3.581495539669602e-10,8.920729201362577e-12,7.674003469028549e-08,3.581495539669602e-10,8.903062102589778e-12,16.847343386865603,1511.8037574393607,6.457260567435254e-05,6.457260567435254e-05,0.019647533040764126,6.546372449226827e-15,0.00028444622706912603,69.07292546365676,4.405060382782487
44,0.0,5.570043738400637e-08,3.049673288784732e-10,7.844719062902842e-12,5.570043738400637e-08,3.049673288784732e-10,7.835411446728533e-12,23.198793959868688,2525.483851071148,5.266310222305337e-05,5.266310222305337e-05,0.0195250331473385,3.4191899315724588e-15,0.00024181364667810287,80.74413258127571,4.591709118348302
