,M1,M2,M3,M4,C2,C3,C4,Skewness,Kurtosis,Mean,Absolute_mean,Peak_value,SRV,RMS,Crest_factor,Shape_factor
0,0.0,3.2278636806353774e-07,4.0636580174113936e-09,8.527975190424423e-11,3.2278636806353774e-07,4.0636580174113936e-09,8.496717878602129e-11,22.15870492421418,815.494108409701,7.212430854903614e-05,7.212430854903614e-05,0.021837350277556553,1.0757631440663869e-13,0.0005727026138819471,38.13034854081869,7.94049364774951
1,0.0,1.931087454364716e-07,1.6128430717047264e-09,2.6898390068131852e-11,1.931087454364716e-07,1.6128430717047264e-09,2.678651710543971e-11,19.005933236997038,718.3107462475577,5.816449142687687e-05,5.816449142687687e-05,0.01986591581157248,3.860904849163706e-14,0.00044327401626919076,44.816332747797105,7.621041728293373
2,0.0,2.792357310715633e-07,2.200621983509457e-09,3.60371683291019e-11,2.792357310715633e-07,2.200621983509457e-09,3.5803250548580687e-11,14.913822234520982,459.17737166629075,7.666358422114343e-05,7.666358422114343e-05,0.019901838983337566,8.128944342098792e-14,0.0005339597702235587,37.272169352767996,6.964972687466591
3,0.0,2.842489484528878e-07,2.9415739292092287e-09,4.77964302834964e-11,2.842489484528878e-07,2.9415739292092287e-09,4.755403788940668e-11,19.410265134470006,588.5585403946963,6.902761081522137e-05,6.902761081522137e-05,0.019830465186948382,8.352895318480088e-14,0.0005375999995421739,36.887026048802504,7.788187845314023
4,0.0,3.0954361991190376e-07,3.0344870664221803e-09,4.5260814511458334e-11,3.0954361991190376e-07,3.0344870664221803e-09,4.497336275357384e-11,17.61986210140707,469.36602250641107,7.430031235251266e-05,7.430031235251266e-05,0.01990785224624835,9.92654226024126e-14,0.0005613057601054746,35.467037150139845,7.554554514419784
5,0.0,1.4722234466766257e-07,1.1055656622346953e-09,2.638047102614295e-11,1.4722234466766257e-07,1.1055656622346953e-09,2.6315447769834618e-11,19.571492531544155,1214.1247269307803,6.37319650238697e-05,6.37319650238697e-05,0.021014243040692663,2.2886881343481506e-14,0.0003889525781293477,54.02777670676422,6.102943444214724
6,0.0,1.4236918246567396e-07,1.0489480128612508e-09,1.9657332039422046e-11,1.4236918246567396e-07,1.0489480128612508e-09,1.9596525087074214e-11,19.526750528743154,966.8232495016279,5.601184307862089e-05,5.601184307862089e-05,0.01985087117776935,2.1172144170312263e-14,0.000381453154438049,52.04012851070363,6.81022322194653
7,0.0,1.0853978770554393e-07,7.961915211166428e-10,1.6820179258829615e-11,1.0853978770554393e-07,7.961915211166428e-10,1.678483660228412e-11,22.265584307034345,1424.751694656434,4.99551591759821e-05,4.99551591759821e-05,0.01988389307119709,1.2328839097200656e-14,0.00033321960571647307,59.67203828971492,6.670374215856397
8,0.0,1.595684874896612e-07,1.1437777664614197e-09,1.927855973293884e-11,1.595684874896612e-07,1.1437777664614197e-09,1.9202173426339625e-11,17.944070110664022,754.14721360034,5.6934360525689876e-05,5.6934360525689876e-05,0.019786789674304722,2.6507098997409268e-14,0.00040349722291253793,49.038230130752865,7.087059891196499
9,0.0,7.011420258603249e-07,1.0092651212534985e-08,1.8358883585509332e-10,7.011420258603249e-07,1.0092651212534985e-08,1.8211403543381075e-10,17.190807065878055,370.45155291338017,9.682792189224245e-05,9.682792189224245e-05,0.018555345364794557,5.048353626766086e-13,0.0008429221033513687,22.01311994432282,8.705361912955615
10,0.0,8.473506634706153e-08,5.320071018649612e-10,1.3835154250282324e-11,8.473506634706153e-08,5.320071018649612e-10,1.3813614155875801e-11,21.568635396691878,1923.8932608892517,5.790046708788983e-05,5.790046708788983e-05,0.019916785113570666,7.759413018323345e-15,0.00029679543533561536,67.10610320218984,5.125959258413161
11,0.0,9.857988852615358e-08,6.358677360308512e-10,1.4323426465310256e-11,9.857988852615358e-08,6.358677360308512e-10,1.429427248204477e-11,20.543966837072293,1470.9076648507355,5.688701891723227e-05,5.688701891723227e-05,0.01987030673103244,1.0366502223386205e-14,0.00031908622885897653,62.27252991170086,5.60912199184195
12,0.0,3.7111736112662964e-07,2.962202642381344e-09,4.3192153189209194e-11,3.7111736112662964e-07,2.962202642381344e-09,4.277896890202042e-11,13.102309616095491,310.60451881952963,9.994518121383421e-05,9.994518121383421e-05,0.019989175758315693,1.452420884064052e-13,0.0006173381572319141,32.3796213212306,6.176767601342478
13,0.0,1.9647512660793648e-07,1.5417598272254883e-09,2.422413240570345e-11,1.9647512660793648e-07,1.5417598272254883e-09,2.4108324979576636e-11,17.703346078398244,624.5279543604657,7.078317389215067e-05,7.078317389215067e-05,0.020013934527699964,4.059636009223391e-14,0.00044887123355610874,44.58725137973946,6.341496274807271
14,0.0,1.9856502371095656e-07,1.3588657728728924e-09,1.8874942943491714e-11,1.9856502371095656e-07,1.3588657728728924e-09,1.8756658737567715e-11,15.357567463844081,475.71842557626496,6.996706294379415e-05,6.996706294379415e-05,0.019829282151574174,4.1396139905513e-14,0.00045106586393556486,43.96094614334815,6.446831479805212
15,0.0,8.595517539390996e-08,2.937384305300944e-10,1.874999416224689e-12,8.595517539390996e-08,2.937384305300944e-10,1.8528345396936956e-12,11.656085483280851,250.7798142393687,4.947766272616146e-05,4.947766272616146e-05,0.010385741465378491,7.815128334419885e-15,0.0002973267806685999,34.93039356234253,6.009313380750855
16,0.0,8.670816430558116e-08,3.249129422649759e-10,1.850230503882351e-12,8.670816430558116e-08,3.249129422649759e-10,1.82767558661062e-12,12.725563520721922,243.09673557100413,5.370944639339625e-05,5.370944639339625e-05,0.007171207791019798,8.026882164446028e-15,0.0002993206791009709,23.95827716467498,5.5729615402957
17,0.0,8.603487977322857e-08,2.554600893887341e-10,1.10186932542757e-12,8.603487977322857e-08,2.554600893887341e-10,1.0796633238147883e-12,10.123046355561774,145.86101667127753,5.289571155089586e-05,5.289571155089586e-05,0.007148058077451578,7.891272764897598e-15,0.00029804837874698156,23.982878576634327,5.634641637445441
18,0.0,1.0667107212215041e-07,4.98837713789091e-10,3.287327171996629e-12,1.0667107212215041e-07,4.98837713789091e-10,3.253191019113562e-12,14.31822853682956,285.90137531818476,5.1094816941339984e-05,5.1094816941339984e-05,0.007179823274682753,1.1942501416449137e-14,0.00033057790676392683,21.719005195982525,6.469891205275298
19,0.0,1.3630873370877352e-07,4.890094265373777e-10,2.2986375741227546e-12,1.3630873370877352e-07,4.890094265373777e-10,2.2428973614668867e-12,9.716988888329745,120.71522091138458,6.730732187518139e-05,6.730732187518139e-05,0.007193054062650765,1.9835626536882534e-14,0.0003752852372353367,19.166898532009377,5.575697068014197
20,0.0,7.528685136394231e-08,6.616648932024728e-10,2.2764787524739507e-11,7.528685136394231e-08,6.616648932024728e-10,2.2747783194774618e-11,32.03018083241791,4013.292480517284,5.136787113281461e-05,5.136787113281461e-05,0.021734843020698155,6.072385038418266e-15,0.00027915140971999366,77.86040931156165,5.434358161315105
21,0.0,6.934342136829879e-08,5.407104142276574e-10,1.5730981864063237e-11,6.934342136829879e-08,5.407104142276574e-10,1.5716556333802052e-11,29.611256461548646,3268.487753845331,4.481803431364483e-05,4.481803431364483e-05,0.020409083125348525,5.091118973275283e-15,0.00026711809666894113,76.40471903572667,5.960058283672141
22,0.0,5.045744889789067e-08,4.012533277722157e-10,1.3338959944700446e-11,5.045744889789067e-08,4.012533277722157e-10,1.3331322082252596e-11,35.4022376958709,5236.277364227359,4.247950312898526e-05,4.247950312898526e-05,0.020456464781812837,2.7313121582473757e-15,0.00022860874236121473,89.48242560859929,5.381624678308135
23,0.0,1.3392305478337833e-07,8.13275360175429e-10,1.702002584148598e-11,1.3392305478337833e-07,8.13275360175429e-10,1.6966219687678443e-11,16.59413405300807,945.9635276124726,6.497340771661267e-05,6.497340771661267e-05,0.02043723984832767,1.9083930092982144e-14,0.0003716780844947514,54.98640006205766,5.72046468788983
24,0.0,2.4926157191264336e-07,1.930046619703005e-09,3.1958602286447004e-11,2.4926157191264336e-07,1.930046619703005e-09,3.177220829274992e-11,15.50903603929857,511.37176143750435,7.396162223351842e-05,7.396162223351842e-05,0.02044432203886492,6.488833755389743e-14,0.0005047097120881045,40.50709060913823,6.823940536276891
25,0.0,5.5220211228429875e-08,4.552718660908806e-10,1.5572100783726183e-11,5.5220211228429875e-08,4.552718660908806e-10,1.5562952968541847e-11,35.085180745296896,5103.826210390165,4.3794425216190615e-05,4.3794425216190615e-05,0.02093592027517029,3.2647696605521593e-15,0.00023903590296950455,87.5848356463892,5.458135408548164
26,0.0,6.697863467693371e-08,2.2408268030386235e-10,1.296314867032748e-12,6.697863467693371e-08,2.2408268030386235e-10,1.2828564545231894e-12,12.927181751846268,285.960127974695,4.460164948400404e-05,4.460164948400404e-05,0.009380042468529014,4.7565769980079284e-15,0.0002626174819269038,35.717509739659405,5.8880665841986195
27,0.0,1.2655098751248449e-07,5.150714850569136e-10,2.7698530884848015e-12,1.2655098751248449e-07,5.150714850569136e-10,2.7218076311636466e-12,11.441137364792525,169.952027699726,6.073239265741825e-05,6.073239265741825e-05,0.007174780399837134,1.69623041855401e-14,0.00036088697819453025,19.880962277252593,5.942248648595753
28,0.0,1.0326940159894304e-07,4.4172483487802465e-10,2.7302085671631846e-12,1.0326940159894304e-07,4.4172483487802465e-10,2.6982148592433734e-12,13.310498669414804,253.0073912663841,5.372364289035741e-05,5.372364289035741e-05,0.0071097046247122955,1.1269018078856995e-14,0.00032581533328613255,21.821270819284983,6.064654512559339
29,0.0,5.725248195808094e-08,4.253327816232785e-10,1.3100507890959326e-11,5.725248195808094e-08,4.253327816232785e-10,1.3090674350888245e-11,31.04826800205837,3993.681092342055,3.8320450761165114e-05,3.8320450761165114e-05,0.021121204270289805,3.448148665840099e-15,0.0002423240369930723,87.16099538608145,6.323621778443416
30,0.0,3.284574407879477e-07,1.6220920251548428e-09,1.1474600627626658e-11,3.284574407879477e-07,1.6220920251548428e-09,1.1150947756399754e-11,8.617014665378504,103.36025490021485,0.00013006517681430472,0.00013006517681430472,0.011859969261821795,1.1928346996392885e-13,0.000587685622597392,20.180805528990707,4.518393293205885
31,0.0,4.195796436579205e-07,2.3603716009061237e-09,1.7805193194238282e-11,4.195796436579205e-07,2.3603716009061237e-09,1.727705196212196e-11,8.68477889090039,98.13881729830575,0.00015195201488207822,0.00015195201488207822,0.0073574119480007355,1.9595589533968108e-13,0.000665333794786229,11.058226721167326,4.378578298567207
32,0.0,7.510840675571802e-07,6.559561292589615e-09,8.569275359929024e-11,7.510840675571802e-07,6.559561292589615e-09,8.400037176967553e-11,10.07724854504929,148.90322674192063,0.00018316782001502466,0.00018316782001502466,0.01118353225813656,6.156513265957962e-13,0.0008857959798092541,12.625404170997484,4.83598035799408
33,0.0,6.013564592304347e-07,4.252985859486899e-09,4.1008233842194493e-11,6.013564592304347e-07,4.252985859486899e-09,3.992334506902e-11,9.120023734351461,110.39844652148122,0.00016451196302602508,0.00016451196302602508,0.010127938535947395,3.9491250732503436e-13,0.0007927298690027456,12.77602741106292,4.818676127992827
