,M1,M2,M3,M4,C2,C3,C4,Skewness,Kurtosis,Mean,Absolute_mean,Peak_value,SRV,RMS,Crest_factor,Shape_factor
0,0.0,4.637135031585006e-08,5.11347462338532e-10,1.6834341194492283e-11,4.637135031585006e-08,5.11347462338532e-10,1.6827890288101936e-11,51.208433557327766,7825.825986229998,2.5570992190500967e-05,2.5570992190500967e-05,0.021007849612589304,2.211371876349861e-15,0.00021685300541485864,96.87599013165375,8.480429847982768
1,0.0,4.9055840979041875e-08,4.633224847232808e-10,1.4192016813096281e-11,4.9055840979041875e-08,4.633224847232808e-10,1.4184797386493798e-11,42.64295466868224,5894.428256233639,3.1485182893143936e-05,3.1485182893143936e-05,0.019666750207755983,2.504717995936294e-15,0.00022371222076779038,87.91093369981672,7.1053174925817215
2,0.0,7.338462823013843e-08,7.723601285738738e-10,2.3216541380350795e-11,7.338462823013843e-08,7.723601285738738e-10,2.3200385469369367e-11,38.8518943012701,4308.092343918134,3.270759010937967e-05,3.270759010937967e-05,0.01966645976054393,5.54345986547566e-15,0.0002728633626577625,72.07438759453568,8.342508932796994
3,0.0,3.416386026602072e-08,2.9454061238733344e-10,9.289915518660893e-12,3.416386026602072e-08,2.9454061238733344e-10,9.286414010616064e-12,46.643891892775095,7956.3552832597225,2.681149625928029e-05,2.681149625928029e-05,0.019697447915062918,1.2168039172342088e-15,0.0001867691532284765,105.46413888254256,6.966010080986432
4,0.0,5.488841880899844e-08,4.251065394282127e-10,1.2320659581772615e-11,5.488841880899844e-08,4.251065394282127e-10,1.2311621366214559e-11,33.05800992080315,4086.5217101093026,3.511548997138645e-05,3.511548997138645e-05,0.0198640875388415,3.149624608078439e-15,0.00023689980254303512,83.85016503014181,6.74630491375945
5,0.0,6.197627761241644e-08,5.730918724033498e-10,1.5698912249335446e-11,6.197627761241644e-08,5.730918724033498e-10,1.568738907237537e-11,37.143773028884326,4084.131258262319,2.7904274166111393e-05,2.7904274166111393e-05,0.02020661736451997,3.938180753475569e-15,0.000250509333417248,80.662133777123,8.977453845457175
6,0.0,9.875205055529065e-08,8.681625711311034e-10,2.0996080352206607e-11,9.875205055529065e-08,8.681625711311034e-10,2.0966824449739984e-11,27.975758785228727,2150.0096748332608,4.070294145047909e-05,4.070294145047909e-05,0.019702450218869714,1.0081923100689127e-14,0.0003168734447662217,62.17766286286786,7.78502568792831
7,0.0,8.268941955926887e-08,6.832899225345099e-10,1.8538041887501203e-11,8.268941955926887e-08,6.832899225345099e-10,1.8517529267180055e-11,28.736250477686422,2708.215085728038,4.396760581218793e-05,4.396760581218793e-05,0.01962947233310454,7.160979339886401e-15,0.0002908995873495264,67.47851556598813,6.616225331716568
8,0.0,1.0753680455200128e-07,9.116164427669711e-10,2.1731009680368736e-11,1.0753680455200128e-07,9.116164427669711e-10,2.169631718736897e-11,25.850947100812572,1876.1681832016507,4.4293454733804476e-05,4.4293454733804476e-05,0.019621819377780552,1.1989968517504281e-14,0.0003309059000444943,59.297278698089585,7.470762938523941
9,0.0,6.417450736324431e-08,5.21700403352514e-10,1.4922449833175727e-11,6.417450736324431e-08,5.21700403352514e-10,1.4910094730989782e-11,32.0905645368837,3620.389659249671,3.756176985316451e-05,3.756176985316451e-05,0.020134348646000215,4.301443895345969e-15,0.0002560964543248235,78.620177304222,6.818008185608641
10,0.0,2.791573298354499e-08,2.763453122609717e-10,9.66931312536512e-12,2.791573298354499e-08,2.763453122609717e-10,9.666975260921094e-12,59.24866217334981,12404.879101041635,2.4803807426876264e-05,2.4803807426876264e-05,0.020149558038868812,8.140157838815622e-16,0.00016891110634417898,119.29090084704904,6.809886217756822
11,0.0,3.750038050673284e-08,3.2424058054006396e-10,1.0175279292595298e-11,3.750038050673284e-08,3.2424058054006396e-10,1.0171060456980849e-11,44.64921797524429,7232.607325688829,2.7026801901098152e-05,2.7026801901098152e-05,0.019621453695167896,1.4615962499170006e-15,0.00019552705318634045,100.35160544494235,7.234561229325316
12,0.0,3.818660471038262e-08,2.951631447130602e-10,9.157350720621435e-12,3.818660471038262e-08,2.951631447130602e-10,9.152976070283513e-12,39.554469147389035,6276.8281096266455,3.2443659044997714e-05,3.2443659044997714e-05,0.019602505106934686,1.5397144809573406e-15,0.00019808885814858587,98.95814075636149,6.105626306633498
13,0.0,4.004017418054115e-08,3.135680826844784e-10,9.712779381241731e-12,4.004017418054115e-08,3.135680826844784e-10,9.707969734596507e-12,39.13703434791361,6055.311616854086,3.230073079949906e-05,3.230073079949906e-05,0.01969465299313019,1.6878549081916536e-15,0.00020269067909186857,97.16605164761268,6.275111245935403
14,0.0,3.725202671074179e-08,3.261720314789727e-10,1.082017258636274e-11,3.725202671074179e-08,3.261720314789727e-10,1.0816009445880568e-11,45.36509868900361,7794.122844661128,3.196801094594354e-05,3.196801094594354e-05,0.019788153675126215,1.4648975783067478e-15,0.00019563736972925638,101.14710549682378,6.11978549619713
15,0.0,2.6180439278594868e-08,4.4383367873630735e-10,1.831609404954187e-11,2.6180439278594868e-08,4.4383367873630735e-10,1.831403780333941e-11,104.77432223682823,26719.61817815031,2.180970900499722e-05,2.180970900499722e-05,0.021910094965245968,7.1054781037872145e-16,0.00016326696752704605,134.19796604978558,7.485976428646388
16,0.0,2.556653748857464e-08,4.2494076760631343e-10,1.6373061180425618e-11,2.556653748857464e-08,4.2494076760631343e-10,1.6371100236908155e-11,103.94905025675521,25045.749800197478,2.298776278193517e-05,2.298776278193517e-05,0.020228069295217137,6.8094770596588e-16,0.00016153939063365686,125.22066113949177,7.027190604237568
17,0.0,2.9519003956108304e-08,6.181132557097791e-10,2.3923859078687977e-11,2.9519003956108304e-08,6.181132557097791e-10,2.3921244963904295e-11,121.87524688835161,27452.403903484024,1.9365095962770582e-05,1.9365095962770582e-05,0.020216725005806263,8.936518875551314e-16,0.00017289884585431915,116.92805065246324,8.928375371168693
